0.772,0.46,0.00689,0.936,0.0993,-19.865,0.111,0.922,136.006,Happy
0.825,0.395,0.36,0.939,0.088,-12.703,0.0997,0.562,94.316,Happy
0.564,0.588,0.562,0.87,0.098,-11.904,0.0458,0.143,89.214,Happy
0.716,0.857,0.476,0.935,0.0821,-9.875,0.0642,0.483,160.621,Happy
0.603,0.965,2.13e-06,0.874,0.404,-9.332,0.0791,0.235,93.942,Happy
0.752,0.926,0.0301,0.844,0.0924,-13.241,0.0845,0.686,154.106,Happy
0.768,0.854,0.012,0.875,0.0284,-10.412,0.164,0.929,155.448,Happy
0.595,0.444,0.051,0.895,0.101,-13.414,0.0713,0.148,76.446,Happy
0.774,0.495,0.197,0.615,0.117,-17.749,0.113,0.0866,110.16,Happy
0.706,0.928,0.177,0.852,0.102,-10.07,0.0487,0.68,136.053,Happy
0.599,0.91,0.397,0.822,0.117,-4.417,0.0494,0.439,129.672,Happy
0.825,0.442,0.0688,0.775,0.1,-17.621,0.0546,0.861,123.15,Happy
0.677,0.409,0.812,0.581,0.109,-15.039,0.0601,0.542,139.994,Happy
0.469,0.199,0.759,0.897,0.108,-20.102,0.0473,0.324,135.01,Happy
0.755,0.128,0.399,0.806,0.0923,-22.39,0.0647,0.0399,119.989,Happy
0.68,0.305,0.0212,0.956,0.121,-22.744,0.0987,0.33,85.003,Happy
0.503,0.209,0.846,0.942,0.0703,-18.409,0.0359,0.0469,160.071,Happy
0.786,0.395,0.749,0.789,0.0862,-13.249,0.0674,0.279,132.996,Happy
0.683,0.0653,0.0908,0.884,0.0995,-24.225,0.404,0.193,169.956,Happy
0.758,0.0354,0.00412,0.886,0.0726,-23.694,0.0589,0.0376,124.986,Happy
0.679,0.837,0.00448,0.893,0.0918,-10.911,0.226,0.0308,150.123,Happy
0.826,0.354,0.612,0.419,0.119,-14.106,0.138,0.936,139.996,Happy
0.772,0.23,0.203,0.000173,0.119,-18.865,0.115,0.336,149.029,Happy
0.586,0.406,0.0172,0.958,0.0999,-12.543,0.0434,0.268,89.952,Happy
0.759,0.39,0.217,0.313,0.088,-10.568,0.067,0.348,140.02,Happy
0.947,0.55,0.0481,0.497,0.331,-11.105,0.164,0.735,114.066,Happy
0.782,0.563,0.713,0.738,0.102,-7.78,0.178,0.215,75.482,Happy
0.574,0.527,0.00384,0.917,0.103,-11.169,0.144,0.483,150.117,Happy
0.714,0.457,0.00103,0.629,0.134,-10.977,0.0401,0.221,90.724,Happy
0.602,0.43,0.0448,0.795,0.255,-11.715,0.076,0.62,155.532,Happy
0.696,0.244,0.133,0.836,0.119,-20.538,0.0457,0.201,103.69,Happy
0.839,0.172,0.53,0.838,0.113,-13.303,0.189,0.267,142.592,Happy
0.792,0.321,0.248,0.874,0.32,-18.258,0.0682,0.381,131.25,Happy
0.753,0.323,0.763,0.449,0.112,-17.458,0.0893,0.639,136.143,Happy
0.758,0.403,0.0439,0.943,0.0793,-16.137,0.0753,0.437,90.708,Happy
0.663,0.104,0.861,0.958,0.0687,-28.193,0.0448,0.0391,123.975,Happy
0.71,0.535,0.019,0.237,0.0655,-11.563,0.0818,0.291,172.388,Happy
0.7,0.536,0.193,0.897,0.112,-11.09,0.0337,0.0769,114.059,Happy
0.785,0.547,0.487,0.843,0.107,-15.225,0.106,0.467,90.69,Happy
0.613,0.497,0.315,0.75,0.105,-12.655,0.0623,0.637,80.759,Happy
0.616,0.414,0.00337,0.711,0.238,-17.275,0.0313,0.454,146.027,Happy
0.772,0.46,0.00689,0.936,0.0993,-19.865,0.111,0.922,136.006,Happy
0.825,0.395,0.36,0.939,0.088,-12.703,0.0997,0.562,94.316,Happy
0.564,0.588,0.562,0.87,0.098,-11.904,0.0458,0.143,89.214,Happy
0.716,0.857,0.476,0.935,0.0821,-9.875,0.0642,0.483,160.621,Happy
0.603,0.965,2.13e-06,0.874,0.404,-9.332,0.0791,0.235,93.942,Happy
0.752,0.926,0.0301,0.844,0.0924,-13.241,0.0845,0.686,154.106,Happy
0.768,0.854,0.012,0.875,0.0284,-10.412,0.164,0.929,155.448,Happy
0.595,0.444,0.051,0.895,0.101,-13.414,0.0713,0.148,76.446,Happy
0.774,0.495,0.197,0.615,0.117,-17.749,0.113,0.0866,110.16,Happy
0.706,0.928,0.177,0.852,0.102,-10.07,0.0487,0.68,136.053,Happy
0.599,0.91,0.397,0.822,0.117,-4.417,0.0494,0.439,129.672,Happy
0.825,0.442,0.0688,0.775,0.1,-17.621,0.0546,0.861,123.15,Happy
0.677,0.409,0.812,0.581,0.109,-15.039,0.0601,0.542,139.994,Happy
0.469,0.199,0.759,0.897,0.108,-20.102,0.0473,0.324,135.01,Happy
0.755,0.128,0.399,0.806,0.0923,-22.39,0.0647,0.0399,119.989,Happy
0.68,0.305,0.0212,0.956,0.121,-22.744,0.0987,0.33,85.003,Happy
0.503,0.209,0.846,0.942,0.0703,-18.409,0.0359,0.0469,160.071,Happy
0.786,0.395,0.749,0.789,0.0862,-13.249,0.0674,0.279,132.996,Happy
0.683,0.0653,0.0908,0.884,0.0995,-24.225,0.404,0.193,169.956,Happy
0.758,0.0354,0.00412,0.886,0.0726,-23.694,0.0589,0.0376,124.986,Happy
0.679,0.837,0.00448,0.893,0.0918,-10.911,0.226,0.0308,150.123,Happy
0.826,0.354,0.612,0.419,0.119,-14.106,0.138,0.936,139.996,Happy
0.772,0.23,0.203,0.000173,0.119,-18.865,0.115,0.336,149.029,Happy
0.586,0.406,0.0172,0.958,0.0999,-12.543,0.0434,0.268,89.952,Happy
0.759,0.39,0.217,0.313,0.088,-10.568,0.067,0.348,140.02,Happy
0.947,0.55,0.0481,0.497,0.331,-11.105,0.164,0.735,114.066,Happy
0.782,0.563,0.713,0.738,0.102,-7.78,0.178,0.215,75.482,Happy
0.574,0.527,0.00384,0.917,0.103,-11.169,0.144,0.483,150.117,Happy
0.714,0.457,0.00103,0.629,0.134,-10.977,0.0401,0.221,90.724,Happy
0.602,0.43,0.0448,0.795,0.255,-11.715,0.076,0.62,155.532,Happy
0.696,0.244,0.133,0.836,0.119,-20.538,0.0457,0.201,103.69,Happy
0.839,0.172,0.53,0.838,0.113,-13.303,0.189,0.267,142.592,Happy
0.792,0.321,0.248,0.874,0.32,-18.258,0.0682,0.381,131.25,Happy
0.753,0.323,0.763,0.449,0.112,-17.458,0.0893,0.639,136.143,Happy
0.758,0.403,0.0439,0.943,0.0793,-16.137,0.0753,0.437,90.708,Happy
0.663,0.104,0.861,0.958,0.0687,-28.193,0.0448,0.0391,123.975,Happy
0.71,0.535,0.019,0.237,0.0655,-11.563,0.0818,0.291,172.388,Happy
0.7,0.536,0.193,0.897,0.112,-11.09,0.0337,0.0769,114.059,Happy
0.785,0.547,0.487,0.843,0.107,-15.225,0.106,0.467,90.69,Happy
0.613,0.497,0.315,0.75,0.105,-12.655,0.0623,0.637,80.759,Happy
0.616,0.414,0.00337,0.711,0.238,-17.275,0.0313,0.454,146.027,Happy
0.772,0.46,0.00689,0.936,0.0993,-19.865,0.111,0.922,136.006,Happy
0.825,0.395,0.36,0.939,0.088,-12.703,0.0997,0.562,94.316,Happy
0.564,0.588,0.562,0.87,0.098,-11.904,0.0458,0.143,89.214,Happy
0.716,0.857,0.476,0.935,0.0821,-9.875,0.0642,0.483,160.621,Happy
0.603,0.965,2.13e-06,0.874,0.404,-9.332,0.0791,0.235,93.942,Happy
0.752,0.926,0.0301,0.844,0.0924,-13.241,0.0845,0.686,154.106,Happy
0.768,0.854,0.012,0.875,0.0284,-10.412,0.164,0.929,155.448,Happy
0.595,0.444,0.051,0.895,0.101,-13.414,0.0713,0.148,76.446,Happy
0.774,0.495,0.197,0.615,0.117,-17.749,0.113,0.0866,110.16,Happy
0.706,0.928,0.177,0.852,0.102,-10.07,0.0487,0.68,136.053,Happy
0.599,0.91,0.397,0.822,0.117,-4.417,0.0494,0.439,129.672,Happy
0.825,0.442,0.0688,0.775,0.1,-17.621,0.0546,0.861,123.15,Happy
0.677,0.409,0.812,0.581,0.109,-15.039,0.0601,0.542,139.994,Happy
0.469,0.199,0.759,0.897,0.108,-20.102,0.0473,0.324,135.01,Happy
0.755,0.128,0.399,0.806,0.0923,-22.39,0.0647,0.0399,119.989,Happy
0.68,0.305,0.0212,0.956,0.121,-22.744,0.0987,0.33,85.003,Happy
0.503,0.209,0.846,0.942,0.0703,-18.409,0.0359,0.0469,160.071,Happy
0.786,0.395,0.749,0.789,0.0862,-13.249,0.0674,0.279,132.996,Happy
0.683,0.0653,0.0908,0.884,0.0995,-24.225,0.404,0.193,169.956,Happy
0.758,0.0354,0.00412,0.886,0.0726,-23.694,0.0589,0.0376,124.986,Happy
0.679,0.837,0.00448,0.893,0.0918,-10.911,0.226,0.0308,150.123,Happy
0.826,0.354,0.612,0.419,0.119,-14.106,0.138,0.936,139.996,Happy
0.772,0.23,0.203,0.000173,0.119,-18.865,0.115,0.336,149.029,Happy
0.586,0.406,0.0172,0.958,0.0999,-12.543,0.0434,0.268,89.952,Happy
0.759,0.39,0.217,0.313,0.088,-10.568,0.067,0.348,140.02,Happy
0.947,0.55,0.0481,0.497,0.331,-11.105,0.164,0.735,114.066,Happy
0.782,0.563,0.713,0.738,0.102,-7.78,0.178,0.215,75.482,Happy
0.574,0.527,0.00384,0.917,0.103,-11.169,0.144,0.483,150.117,Happy
0.714,0.457,0.00103,0.629,0.134,-10.977,0.0401,0.221,90.724,Happy
0.602,0.43,0.0448,0.795,0.255,-11.715,0.076,0.62,155.532,Happy
0.696,0.244,0.133,0.836,0.119,-20.538,0.0457,0.201,103.69,Happy
0.839,0.172,0.53,0.838,0.113,-13.303,0.189,0.267,142.592,Happy
0.792,0.321,0.248,0.874,0.32,-18.258,0.0682,0.381,131.25,Happy
0.753,0.323,0.763,0.449,0.112,-17.458,0.0893,0.639,136.143,Happy
0.758,0.403,0.0439,0.943,0.0793,-16.137,0.0753,0.437,90.708,Happy
0.663,0.104,0.861,0.958,0.0687,-28.193,0.0448,0.0391,123.975,Happy
0.71,0.535,0.019,0.237,0.0655,-11.563,0.0818,0.291,172.388,Happy
0.7,0.536,0.193,0.897,0.112,-11.09,0.0337,0.0769,114.059,Happy
0.785,0.547,0.487,0.843,0.107,-15.225,0.106,0.467,90.69,Happy
0.613,0.497,0.315,0.75,0.105,-12.655,0.0623,0.637,80.759,Happy
0.616,0.414,0.00337,0.711,0.238,-17.275,0.0313,0.454,146.027,Happy
0.772,0.46,0.00689,0.936,0.0993,-19.865,0.111,0.922,136.006,Happy
0.825,0.395,0.36,0.939,0.088,-12.703,0.0997,0.562,94.316,Happy
0.564,0.588,0.562,0.87,0.098,-11.904,0.0458,0.143,89.214,Happy
0.716,0.857,0.476,0.935,0.0821,-9.875,0.0642,0.483,160.621,Happy
0.603,0.965,2.13e-06,0.874,0.404,-9.332,0.0791,0.235,93.942,Happy
0.752,0.926,0.0301,0.844,0.0924,-13.241,0.0845,0.686,154.106,Happy
0.768,0.854,0.012,0.875,0.0284,-10.412,0.164,0.929,155.448,Happy
0.595,0.444,0.051,0.895,0.101,-13.414,0.0713,0.148,76.446,Happy
0.774,0.495,0.197,0.615,0.117,-17.749,0.113,0.0866,110.16,Happy
0.706,0.928,0.177,0.852,0.102,-10.07,0.0487,0.68,136.053,Happy
0.599,0.91,0.397,0.822,0.117,-4.417,0.0494,0.439,129.672,Happy
0.825,0.442,0.0688,0.775,0.1,-17.621,0.0546,0.861,123.15,Happy
0.677,0.409,0.812,0.581,0.109,-15.039,0.0601,0.542,139.994,Happy
0.469,0.199,0.759,0.897,0.108,-20.102,0.0473,0.324,135.01,Happy
0.755,0.128,0.399,0.806,0.0923,-22.39,0.0647,0.0399,119.989,Happy
0.68,0.305,0.0212,0.956,0.121,-22.744,0.0987,0.33,85.003,Happy
0.503,0.209,0.846,0.942,0.0703,-18.409,0.0359,0.0469,160.071,Happy
0.786,0.395,0.749,0.789,0.0862,-13.249,0.0674,0.279,132.996,Happy
0.683,0.0653,0.0908,0.884,0.0995,-24.225,0.404,0.193,169.956,Happy
0.758,0.0354,0.00412,0.886,0.0726,-23.694,0.0589,0.0376,124.986,Happy
0.679,0.837,0.00448,0.893,0.0918,-10.911,0.226,0.0308,150.123,Happy
0.826,0.354,0.612,0.419,0.119,-14.106,0.138,0.936,139.996,Happy
0.772,0.23,0.203,0.000173,0.119,-18.865,0.115,0.336,149.029,Happy
0.586,0.406,0.0172,0.958,0.0999,-12.543,0.0434,0.268,89.952,Happy
0.759,0.39,0.217,0.313,0.088,-10.568,0.067,0.348,140.02,Happy
